Pakiet,Kategoria,Materiał,Typ,Producent,Model,SKU,Cechy,Cena zakup,Cena detal brutto,Cena detal netto,Cena detal / m2,Link,Photo,50,m2
+ Standard,Sanitariat,Akcesoria / środki,Akcesoria,Oltens,"Oltens NanoCare preparat do impregnacji armatury, wanien, ceramiki 250 ml (0,25 l) 89902000",,,,"89,95","73,13","1,46","https://www.lazienkaplus.pl/pl/oltens-nanocare-preparat-do-impregnacji-armatury-wanien-ceramiki-250-ml-89902000,507790,159,i/",,,
+ Standard,Sanitariat,Wanna / prysznic,Parawan nawannowy,Roca,"Roca Capital parawan nawannowy 85 cm 1-częściowy chrom połysk/szkło przezroczyste AM4008512M
",,,,"969,99","788,61","15,77","https://www.lazienkaplus.pl/pl/roca-capital-parawan-nawannowy-1-czesciowy-85-cm-szklo-przezroczyste-am4008512m,498013,53,i/",,,
+ Standard,Sanitariat,Wanna / prysznic,Parawan nawannowy,Roca,Roca Capital parawan nawannowy 115 cm 2-częściowy chrom połysk/szkło przezroczyste AM4111512M,,,,"1259,99","1024,38","20,49","https://www.lazienkaplus.pl/pl/roca-capital-parawan-nawannowy-2-czesciowy-115-cm-szklo-przezroczyste-am4111512m,498015,53,i/",,,
Budget,Sanitariat,Wanna / prysznic,Baterie prysznicowe / wannowe,Grohe,"Grohe Eurosmart bateria wannowo-prysznicowa ścienna chrom 3330220A",,,,"353,92","287,74","5,75","https://www.lazienkaplus.pl/pl/grohe-eurosmart-bateria-wannowo-prysznicowa-scienna-chrom-3330220a,506143,120,i/",,,
Standard,Sanitariat,Wanna / prysznic,Baterie prysznicowe / wannowe,Hansgrohe,"Zestaw Hansgrohe Logis bateria wannowo-prysznicowa z kompletem natryskowym Croma Select E ściennym chrom/biały (71400000, 26425400",,,,"738,03","600,02","12,00","https://www.lazienkaplus.pl/pl/zestaw-hansgrohe-logis-bateria-wannowo-prysznicowa-z-kompletem-natryskowym-croma-select-e-sciennym-chrombialy-71400000-26425400,509866,120,i/",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Stelaż podtynkowy,Geberit,Geberit Duofix Delta stelaż podtynkowy do miski WC wiszącej 111.170.00.2,,,,"648,99","527,63","10,55","https://www.lazienkaplus.pl/pl/geberit-duofix-delta-stelaz-podtynkowy-do-miski-wc-wiszacej-111170002,710811,86,i",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Miska WC,Hagser,Hagser Beno miska WC z deską wolnoopadającą HGR20000042,,,,"519,99","422,76","8,46","https://www.lazienkaplus.pl/pl/hagser-beno-miska-wc-wiszaca-rimless-z-deska-wolnoopadajaca-biala-hgr20000042,532160,89,i",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Miska WC,Omnires,Omnires Tampa miska WC z deską wolnoopadającą TAMPAMWBP,,,,"657,00","534,15","10,68","https://www.lazienkaplus.pl/pl/omnires-tampa-miska-wc-wiszaca-bez-kolnierza-z-deska-sedesowa-wolnoopadajaca-biala-tampamwbp,526915,89,i/",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Miska WC,Omnires,Omnires Boston miska WC z deską wolnoopadającą wisząca bez kołnierza biały połysk BOSTONMWBP,,,,"657,00","534,15","10,68","https://www.lazienkaplus.pl/pl/omnires-boston-miska-wc-z-deska-wolnoopadajaca-wiszaca-bez-kolnierza-bialy-polysk-bostonmwbp,538550,89,i/",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Miska WC,Oltens,Oltens Ribe miska WC z deską wolnoopadającą 42011000,,,,"499,95","406,46","8,13","https://www.lazienkaplus.pl/pl/oltens-ribe-miska-wc-wiszaca-purerim-z-deska-wolnoopadajaca-slim-biala-42011000,511663,89,i/",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Miska WC,,,,,,,,,"https://www.lazienkaplus.pl/pl/oltens-hamnes-kort-miska-wc-wiszaca-purerim-biala-42019000,615975,89,i",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Miska WC,,,,,,,,,"https://www.lazienkaplus.pl/pl/oltens-hamnes-miska-wc-wiszaca-purerim-biala-42013000,536694,89,i",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Przycisk,Geberit,Geberit Delta20 przycisk spłukujący do WC biały 115.137.11.1,,,,"158,23","128,64","2,57","https://www.lazienkaplus.pl/pl/geberit-delta30-przycisk-splukujacy-bialy-alpin-115137111,603702,90,i",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Przycisk,Geberit,Geberit Delta01 przycisk spłukujący do WC biały 115.107.11.1,,,,"116,62","94,81","1,90","https://www.lazienkaplus.pl/pl/geberit-delta01-przycisk-splukujacy-bialy-alpin-up100-115107111,601019,130,i",,,
Budget,Sanitariat,Zestaw podtnykowy WC,Przycisk,Geberit,Geberit Delta przycisk spłukujący do WC biały 115.119.11.1,,,,"199,85","162,48","3,25","https://www.lazienkaplus.pl/pl/geberit-delta50-przycisk-splukujacy-bialy-alpin-115119111,601047,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Stelaż podtynkowy,Grohe,Grohe Rapid SL stelaż podtynkowy do miski WC wiszącej 38539001,,,,"651,74","529,87","10,60","https://www.lazienkaplus.pl/pl/grohe-rapid-sl-stelaz-podtynkowy-3w1-do-wc-38539001,477877,86,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Przycisk,Grohe,Grohe Skate Cosmopolitan przycisk spłukujący chrom 38732000,,,,"214,32","174,24","3,48","https://www.lazienkaplus.pl/pl/grohe-skate-cosmopolitan-przycisk-splukujacy-chrom-38732000,26770,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Przycisk,Grohe,Grohe Arena Cosmopolitan przycisk spłukujący chrom mat 38858P00,,,,"282,10","229,35","4,59","https://www.lazienkaplus.pl/pl/grohe-arena-cosmopolitan-przycisk-splukujacy-chrom-mat-38858p00,475538,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Przycisk,Grohe,Grohe Nova przycisk spłukujący do WC biel alpejska 38765SH0,,,,"227,39","184,87","3,70","https://www.lazienkaplus.pl/pl/grohe-nova-przycisk-splukujacy-do-wc-biel-alpejska-38765sh0,52342,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Stelaż podtynkowy,Roca,Roca Duplo One stelaż podtynkowy do miski WC wiszącej A890070020,,,,"760,00","617,89","12,36","https://www.lazienkaplus.pl/pl/roca-duplo-one-stelaz-podtynkowy-do-miski-wc-wiszacej-a890070020,531148,86,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Przycisk,Roca,Roca PL2 przycisk spłukujący chrom A890196001,,,,"200,00","162,60","3,25","https://www.lazienkaplus.pl/pl/roca-pl2-przycisk-splukujacy-chrom-a890196001,531169,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Przycisk,Roca,Roca PL2 przycisk spłukujący biały A890196000,,,,"140,00","113,82","2,28","https://www.lazienkaplus.pl/pl/roca-pl2-przycisk-splukujacy-bialy-a890196000,531108,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Przycisk,Roca,Roca PL7 przycisk spłukujący do WC biały A890188207,,,,"280,00","227,64","4,55","https://www.lazienkaplus.pl/pl/roca-pl7-przycisk-splukujacy-bialy-mat-a890188207,531184,130,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Oltens,Zestaw Oltens Jog miska WC wisząca PureRim z powłoką SmartClean z deską wolnoopadającą Slim 42505000,,,,"1099,90","894,23","17,88","https://www.lazienkaplus.pl/pl/zestaw-oltens-jog-miska-wc-wiszaca-purerim-z-powloka-smartclean-z-deska-wolnoopadajaca-slim-42505000,507616,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Omnires,Omnires Ottawa miska WC z deską wolnoopadającą biały połysk OTTAWAMWBP,,,,"789,99","642,27","12,85","https://www.lazienkaplus.pl/pl/omnires-ottawa-miska-wc-wiszaca-bez-kolnierza-z-deska-wolnoopadajaca-biala-ottawamwbp,533165,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Oltens,Zestaw Oltens Hamnes miska WC wisząca PureRim z powłoką SmartClean z deską wolnoopadającą 42514000,,,,"949,90","772,28","15,45","https://www.lazienkaplus.pl/pl/zestaw-oltens-hamnes-miska-wc-wiszaca-purerim-z-powloka-smartclean-z-deska-wolnoopadajaca-42514000,536982,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Meridian-N Compacto zestaw miska z deską A34H242000,,,,"1083,44","880,85","17,62","https://www.lazienkaplus.pl/pl/roca-meridian-n-compacto-miska-wc-wiszaca-rimless-z-deska-wolnoopadajaca-slim-biala-a34h242000,539391,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Cersanit,Cersanit Zen miska WC z deską wolnoopadającą S701-428,,,,"759,00","617,07","12,34","https://www.lazienkaplus.pl/pl/cersanit-zen-miska-wc-clean-on-z-deska-wolnoopadajaca-slim-zestaw-bialy-s701-428,532370,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,,,,,,,,"https://www.lazienkaplus.pl/pl/roca-gap-square-miska-wc-wiszaca-biala-a346477000,405589,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Oltens,Zestaw Oltens Vernal miska WC wisząca PureRim z powłoką SmartClean z deską wolnoopadającą Slim 42507000,,,,"1149,90","934,88","18,70","https://www.lazienkaplus.pl/pl/zestaw-oltens-vernal-miska-wc-wiszaca-purerim-z-powloka-smartclean-z-deska-wolnoopadajaca-slim-42507000,507668,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,,,,,,,,"https://www.lazienkaplus.pl/pl/roca-gap-square-compacto-miska-wc-wiszaca-rimless-supraglaze-biala-a34647as00,603602,89,i",,,
Standart,Sanitariat,Zestaw podtnykowy WC,Miska WC,Villeroy & Boch,Villeroy & Boch Architectura Combi-Pack miska WC wisząca z deską wolnoopadającą Weiss Alpin 4694HR01,,,,"929,25","755,49","15,11","https://www.lazienkaplus.pl/pl/villeroy-boch-architectura-combi-pack-miska-wc-wiszaca-z-deska-wolnoopadajaca-weiss-alpin-4694hr01,612505,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Stelaż podtynkowy,Geberit,Geberit Duofix Sigma stelaż podtynkowy do miski WC wiszącej 111.320.00.6,,,,"947,99","770,72","15,41","https://www.lazienkaplus.pl/pl/geberit-duofix-sigma-stelaz-podtynkowy-do-miski-wc-wiszacej-111320006,709208,129,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Geberit,Geberit Sigma01 przycisk spłukujący do WC czarny 115.660.DW.1,,,,"287,99","234,14","4,68","https://www.lazienkaplus.pl/pl/geberit-sigma01-przycisk-splukujacy-do-wc-czarny-115660dw1,704593,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Geberit,Geberit Sigma20 przycisk spłukujący do WC chrom błyszczący-biały 115.882.KJ.1,,,,"364,99","296,74","5,93","https://www.lazienkaplus.pl/pl/geberit-sigma20-przycisk-splukujacy-do-wc-chrom-blyszczacy-bialy-115882kj1,488716,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Stelaż podtynkowy,Grohe,Grohe Rapid SL stelaż podtynkowy do miski WC wiszącej 38539001,,,,"651,74","529,87","10,60","https://www.lazienkaplus.pl/pl/grohe-rapid-sl-stelaz-podtynkowy-3w1-do-wc-38539001,477877,129,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Grohe,Grohe Arena przycisk spłukujący do WC chrom błyszczący 38844000,,,,"282,10","229,35","4,59","https://www.lazienkaplus.pl/pl/grohe-arena-przycisk-splukujacy-do-wc-chrom-blyszczacy-38844000,405609,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Grohe,Grohe Nova Cosmopolitan S przycisk spłukujący do WC Biel Alpejska 37601SH0,,,,"273,99","222,76","4,46","https://www.lazienkaplus.pl/pl/grohe-nova-cosmopolitan-s-przycisk-splukujacy-biel-alpejska-37601sh0,497130,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Grohe,Grohe Skate Cosmopolitan przycisk spłukujący tytan 38732BR0,,,,"430,00","349,59","6,99","https://www.lazienkaplus.pl/pl/grohe-skate-cosmopolitan-przycisk-splukujacy-tytan-38732br0,422010,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Stelaż podtynkowy,Villeroy & Boch,Villeroy & Boch ViConnect stelaż podtynkowy do miski WC wiszącej 92242700,,,,"738,70","600,57","12,01","https://www.lazienkaplus.pl/pl/villeroy-boch-viconnect-stelaz-podtynkowy-do-miski-wc-wiszacej-92242700,564703,129,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Villeroy & Boch,Villeroy & Boch ViConnect przycisk spłukujący do WC chrom błyszczący 92218061,,,,"372,99","303,24","6,06","https://www.lazienkaplus.pl/pl/villeroy-boch-viconnect-e300-przycisk-splukujacy-do-wc-chrom-92218061,549755,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Villeroy & Boch,Villeroy & Boch ViConnect E200 przycisk spłukujący do WC chrom mat 92249069,,,,"273,41","222,28","4,45","https://www.lazienkaplus.pl/pl/villeroy-boch-viconnect-e200-przycisk-splukujacy-do-wc-chrom-mat-92249069,507473,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Przycisk,Villeroy & Boch,Villeroy & Boch ViConnect przycisk spłukujący do WC chrom mat 92248569,,,,"314,99","256,09","5,12","https://www.lazienkaplus.pl/pl/villeroy-boch-viconnect-przycisk-splukujacy-do-wc-chrom-mat-92248569,685294,90,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Oltens,Zestaw Oltens Jog miska WC wisząca PureRim z powłoką SmartClean z deską wolnoopadającą Slim 42505000,,,,"1099,90","894,23","17,88","https://www.lazienkaplus.pl/pl/zestaw-oltens-jog-miska-wc-wiszaca-purerim-z-powloka-smartclean-z-deska-wolnoopadajaca-slim-42505000,507616,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Oltens,Zestaw Oltens Vernal miska WC wisząca PureRim z powłoką SmartClean z deską wolnoopadającą Slim 42507000,,,,"1149,90","934,88","18,70","https://www.lazienkaplus.pl/pl/zestaw-oltens-vernal-miska-wc-wiszaca-purerim-z-powloka-smartclean-z-deska-wolnoopadajaca-slim-42507000,507668,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Ona miska WC z deską wolnoopadającą wisząca bez kołnierza biały A34H688000,,,,"1343,84","1092,55","21,85","https://www.lazienkaplus.pl/pl/roca-ona-miska-wc-wiszaca-rimless-z-deska-wolnoopadajaca-biala-a34h688000,603621,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Ona miska WC wisząca bez kołnierza ze spłukiwaniem wirowym czarny mat A34668C080,,,,"1869,60","1520,00","30,40","https://www.lazienkaplus.pl/pl/roca-ona-miska-wc-wiszaca-bez-kolnierza-czarny-mat-a34668c080,716704,89,i/",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Gap Round miska WC z deską wolnoopadającą A34H0N8000,,,,"1111,34","903,53","18,07","https://www.lazienkaplus.pl/pl/roca-gap-round-miska-wc-wiszaca-rimless-z-deska-wolnoopadajaca-slim-biala-a34h0n8000,532131,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,,,,,,,,"https://www.lazienkaplus.pl/pl/roca-ona-miska-wc-wiszaca-rimless-supraglaze-biala-a346687s00,603564,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Meridian miska WC z deską wolnoopadającą A34H240000,,,,"1249,99","1016,25","20,33","https://www.lazienkaplus.pl/pl/roca-meridian-miska-wc-wiszaca-rimless-z-deska-slim-wolnoopadajaca-biala-a34h240000,511104,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Gap Square miska WC z deską wolnoopadającą A34H472000,,,,"1260,14","1024,50","20,49","https://www.lazienkaplus.pl/pl/roca-gap-square-miska-wc-wiszaca-rimless-z-deska-wolnoopadajaca-utraslim-biala-a34h472000,531330,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Roca,Roca Gap miska WC wisząca bez kołnierza czarny A34647L080,,,,"1289,99","1048,77","20,98","https://www.lazienkaplus.pl/pl/roca-gap-miska-wc-wiszaca-bez-kolnierza-czarny-a34647l080,682413,89,i/",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Cersanit,Cersanit Zen miska WC z deską wolnoopadającą wisząca bez kołnierza spłukiwanie wirowe biały połysk S701-882,,,,"1598,99","1299,99","26,00","https://www.lazienkaplus.pl/pl/cersanit-zen-miska-wc-z-deska-wolnoopadajaca-wiszaca-bez-kolnierza-splukiwanie-wirowe-bialy-polysk-s701-882,689344,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Villeroy & Boch,Villeroy & Boch Subway 2.0 miska WC wisząca bez kołnierza CeramicPlus Pure Black 5614R0R7,,,,"1959,98","1593,48","31,87","https://www.lazienkaplus.pl/pl/villeroy-boch-subway-20-miska-wc-wiszaca-bez-kolnierza-ceramicplus-pure-black-5614r0r7,665486,89,i/",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Villeroy & Boch,Villeroy & Boch Subway 2.0 Combi-Pack miska WC wisząca bez kołnierza CeramicPlus z deską wolnoopadającą Weiss Alpin 5614R2R1,,,,"1599,99","1300,80","26,02","https://www.lazienkaplus.pl/pl/villeroy-boch-subway-20-combi-pack-miska-wc-wiszaca-bez-kolnierza-ceramicplus-z-deska-wolnoopadajaca-weiss-alpin-5614r2r1,483230,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Villeroy & Boch,,,,,,,,"https://www.lazienkaplus.pl/pl/villeroy-boch-subway-20-combi-pack-miska-wc-wiszaca-bez-kolnierza-z-deska-wolnoopadajaca-weiss-alpin-5614r201,483727,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Geberit,Geberit Smyle Square miska WC wisząca Rimfree KeraTect biała 500.379.01.8,,,,"1296,99","1054,46","21,09","https://www.lazienkaplus.pl/pl/geberit-smyle-square-miska-wc-wiszaca-rimfree-keratect-biala-500379018,633728,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Grohe,,,,,,,,"https://www.lazienkaplus.pl/pl/grohe-euro-ceramic-miska-wc-wiszaca-z-deska-wolnoopadajaca-bialy-39703000,590897,89,i",,,
Lux,Sanitariat,Zestaw podtnykowy WC,Miska WC,Grohe,Grohe Euro Ceramic miska WC z deską wolnoopadającą spłukiwanie wirowe biała 39693000,,,,"1215,99","988,61","19,77","https://www.lazienkaplus.pl/pl/zestaw-grohe-euro-ceramic-miska-wc-wiszaca-z-deska-wolnoopadajaca-bialy-39693000,581034,89,i",,,
Budget,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Deante,Deante Lupo zestaw prysznicowy ścienny z deszczownicą chrom NLU_F1RK,,,,"439,00","356,91","7,14","https://www.lazienkaplus.pl/pl/deante-lupo-zestaw-prysznicowy-scienny-z-deszczownica-chrom-nlu_f1rk,676410,138,i",,,
Budget,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Deante,Deante Neo Boro zestaw wannowo-prysznicowy ścienny z deszczownicą chrom NER_01RK,,,,"399,00","324,39","6,49","https://www.lazienkaplus.pl/pl/deante-neo-boro-zestaw-wannowo-prysznicowy-scienny-z-deszczownica-chrom-ner_01rk,676411,138,i",,,
Budget,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Deante,Deante Neo Joko Square zestaw prysznicowy ścienny chrom NBJ01SK,,,,"319,00","259,35","5,19","https://www.lazienkaplus.pl/pl/deante-neo-joko-square-zestaw-prysznicowy-scienny-chrom-nbj01sk,504946,138,i",,,
Budget,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Deante,Deante Boro bateria wannowo-prysznicowa ścienna chrom BMO_011C,,,,"327,00","265,85","5,32","https://www.lazienkaplus.pl/pl/deante-boro-bateria-wannowo-prysznicowa-scienna-chrom-bmo_011c,707801,120,i",,,
Budget,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Grohe,Grohe Eurosmart bateria wannowo-prysznicowa ścienna chrom 3330220A,,,,"353,92","287,74","5,75","https://www.lazienkaplus.pl/pl/grohe-eurosmart-bateria-wannowo-prysznicowa-scienna-chrom-3330220a,506143,120,i",,,
Budget,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Deante,Deante Neo Symetrio bateria wannowo-prysznicowa ścienna chrom BOS011D,,,,"303,00","246,34","4,93","https://www.lazienkaplus.pl/pl/deante-neo-symetrio-bateria-wannowo-prysznicowa-scienna-chrom-bos011d,534000,120,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Omnires,Omnires Fresh zestaw prysznicowy z deszczownicą ścienny chrom FR7144CR,,,,"2042,68","1660,72","33,21","https://www.lazienkaplus.pl/pl/omnires-fresh-zestaw-prysznicowy-z-deszczownica-scienny-chrom-fr7144cr,504216,138,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Oltens,Oltens Vernal zestaw prysznicowy z baterią prysznicową ścienną chrom 36053100,,,,"1089,90","886,10","17,72","https://www.lazienkaplus.pl/pl/oltens-vernal-zestaw-prysznicowy-z-bateria-prysznicowa-scienna-chrom-36053100,703996,138,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Oltens,Oltens Jog zestaw prysznicowy z baterią wannowo-prysznicową ścienną chrom 36080100,,,,"1109,90","902,36","18,05","https://www.lazienkaplus.pl/pl/oltens-jog-zestaw-prysznicowy-z-bateria-wannowo-prysznicowa-scienna-chrom-36080100,718190,138,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Grohe,"Grohe Vitalio Comfort 250 zestaw prysznicowy ścienny z deszczownicą i bateria prysznicowa ścienna Start Edge chrom ( 26698001, 24197001)",,,,"1088,98","885,35","17,71","https://www.lazienkaplus.pl/pl/grohe-vitalio-comfort-250-zestaw-prysznicowy-scienny-z-deszczownica-i-bateria-prysznicowa-scienna-start-edge-chrom-26698001-24197001,720176,138,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Grohe,"Grohe Vitalio Start System 250 zestaw prysznicowy ścienny z deszczownicą i bateria prysznicowa ścienna Start Edge chrom (26680001, 24197001)",,,,"1097,98","892,67","17,85","https://www.lazienkaplus.pl/pl/grohe-vitalio-start-system-250-zestaw-prysznicowy-scienny-z-deszczownica-i-bateria-prysznicowa-scienna-start-edge-chrom-26680001-24197001,720177,138,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Omnires,Omnires Modern bateria wannowo-prysznicowa ścienna chrom C304CR,,,,"553,00","449,59","8,99","https://www.lazienkaplus.pl/pl/omnires-modern-bateria-wannowo-prysznicowa-kompletna-chrom-c304,49309,120,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Grohe,Grohe Essence bateria wannowo-prysznicowa ścienna StarLight Chrome 33628001,,,,"799,99","650,40","13,01","https://www.lazienkaplus.pl/pl/grohe-essence-bateria-wannowo-prysznicowa-scienna-starlight-chrome-33628001,480416,120,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Omnires,Omnires Y bateria wannowo-prysznicowa ścienna chrom Y1231CR,,,,"884,00","718,70","14,37","https://www.lazienkaplus.pl/pl/omnires-y-bateria-wannowo-prysznicowa-scienna-chrom-y1231cr,663731,120,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Hansgrohe,"Zestaw Hansgrohe Logis bateria wannowo-prysznicowa z kompletem natryskowym Croma Select E ściennym chrom/biały (71400000, 26425400)",,,,"738,03","600,02","12,00","https://www.lazienkaplus.pl/pl/zestaw-hansgrohe-logis-bateria-wannowo-prysznicowa-z-kompletem-natryskowym-croma-select-e-sciennym-chrombialy-71400000-26425400,509866,120,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,"Zestaw Oltens Vernal bateria wannowo-prysznicowa ścienna z kompletem natryskowym Saxan chrom (34004100, 36008100)",,,,"759,80","617,72","12,35","https://www.lazienkaplus.pl/pl/zestaw-oltens-vernal-bateria-wannowo-prysznicowa-scienna-z-kompletem-natryskowym-saxan-chrom-34004100-36008100,513504,120,i",,,
Standart,Sanitariat,Bateria wannowa / prysznicowa,Bateria wannowo-prysznicowa z kompletem natryskowym,Oltens,Zestaw Oltens Hadsel bateria wannowo-prysznicowa ścienna z kompletem natryskowym Tinde Alling chrom 36058100,,,,"799,80","650,24","13,00","https://www.lazienkaplus.pl/pl/zestaw-oltens-hadsel-bateria-wannowo-prysznicowa-scienna-z-kompletem-natryskowym-tinde-alling-chrom-36058100,718046,138,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Omnires,Omnires Y zestaw prysznicowy podtynkowy czarny SYSY18BL,,,,"2064,72","1678,63","33,57","https://www.lazienkaplus.pl/pl/omnires-y-zestaw-prysznicowy-podtynkowy-z-deszczownica-czarny-polpolysk-sysy18bl,507548,138,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Omnires,Omnires Fresh zestaw prysznicowy podtynkowy z deszczownicą chrom SYSFR11CR,,,,"1317,99","1071,54","21,43","https://www.lazienkaplus.pl/pl/omnires-fresh-zestaw-prysznicowy-podtynkowy-z-deszczownica-chrom-sysfr11cr,474841,138,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Omnires,Omnires Parma zestaw prysznicowy podtynkowy z deszczownicą chrom SYSPM10CR,,,,"1291,28","1049,82","21,00","https://www.lazienkaplus.pl/pl/omnires-parma-zestaw-prysznicowy-podtynkowy-z-deszczownica-chrom-syspm10cr,497056,138,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Oltens,Zestaw Oltens Molle bateria podtynkowa z deszczownicą 30 cm Sondera i kompletem prysznicowym Ume chrom 36600100,,,,"1569,70","1276,18","25,52","https://www.lazienkaplus.pl/pl/zestaw-oltens-molle-bateria-podtynkowa-z-deszczownica-30-cm-sondera-i-kompletem-prysznicowym-ume-chrom-36600100,511010,138,i",,,
Lux,Sanitariat,Bateria wannowa / prysznicowa,Zestaw prysznicowy,Oltens,"Zestaw Oltens Vernal bateria podtynkowa z deszczownicą 25 cm Vindel i kompletem prysznicowym Driva EasyClick (34104100, 39400100, 37000100, 37101110, 37200100, 39304100)",,,,"1439,70","1170,49","23,41","https://www.lazienkaplus.pl/pl/zestaw-oltens-vernal-bateria-podtynkowa-z-deszczownica-25-cm-vindel-i-kompletem-prysznicowym-driva-easyclick-34104100-39400100-37000100-37101110-37200100-39304100,510246,138,i",,,
